1,0.175654152,772,twitter
1,0.036405006,160,rt
1,0.017519909,77,facebook
1,0.014562002,64,url
1,0.012514221,55,lol
1,0.009328783,41,follow
1,0.008646189,38,followers
1,0.007281001,32,don
1,0.005688282,25,autopilot
1,0.005460751,24,night
1,0.005460751,24,minutes
1,0.005460751,24,good
1,0.00523322,23,put
1,0.005005688,22,hours
1,0.005005688,22,free
1,0.004550626,20,teamfollowback
1,0.004550626,20,tweets
1,0.004550626,20,gt
1,0.004550626,20,people
2,0.084479371,559,url
2,0.02130875,141,phone
2,0.011787819,78,great
2,0.009823183,65,time
2,0.009520931,63,love
2,0.00770742,51,day
2,0.007254043,48,tech
2,0.007254043,48,users
2,0.006800665,45,screen
2,0.006800665,45,video
2,0.006347287,42,back
2,0.00589391,39,people
2,0.005742784,38,work
2,0.005440532,36,make
2,0.00513828,34,wow
2,0.004836028,32,don
2,0.004836028,32,today
2,0.004533777,30,fail
2,0.004382651,29,post
3,0.188452421,1113,apple
3,0.049271927,291,iphone
3,0.0253979,150,ios
3,0.020656959,122,siri
3,0.016254656,96,rt
3,0.013884186,82,store
3,0.011683034,69,app
3,0.008635286,51,update
3,0.007788689,46,ipad
3,0.007280731,43,steve
3,0.006942093,41,jobs
3,0.005756857,34,dear
3,0.005587538,33,icloud
3,0.005248899,31,genius
3,0.00507958,30,upgrade
3,0.004910261,29,apps
3,0.004740941,28,amazon
3,0.004571622,27,ipod
3,0.004402303,26,touch
4,0.158427948,907,microsoft
4,0.07510917,430,url
4,0.021834061,125,windows
4,0.019563319,112,rt
4,0.017467249,100,ballmer
4,0.010829694,62,cloud
4,0.010131004,58,yahoo
4,0.010131004,58,steve
4,0.0069869,40,android
4,0.006113537,35,ceo
4,0.00558952,32,office
4,0.005240175,30,xbox
4,0.00489083,28,phones
4,0.004716157,27,nokia
4,0.004716157,27,skype
4,0.004716157,27,search
4,0.004366812,25,windowsphone
4,0.004366812,25,buying
4,0.00419214,24,lucky
