"126415614616154112","apple","OTHER","Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is"
"126404574230740992","apple","OTHER","@Apple will be adding more carrier support to the iPhone 4S (just announced)"
"126402758403305474","apple","OTHER","Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! URL"
"126397179614068736","apple","OTHER","@RIM you made it too easy for me to switch to @Apple iPhone. See ya!"
"126395626979196928","apple","OTHER","I just realized that the reason I got into twitter was ios5 thanks @apple"
"126394830791254016","apple","POS","I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone"
"126379685453119488","apple","POS","The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! URL via @HappyPlace"
"126377656416612353","apple","OTHER","Great up close & personal event @Apple tonight in Regent St store!"
"126373779483004928","apple","OTHER","From which companies do you experience the best customer service aside from @zappos and @apple?"
"126366353757179904","apple","OTHER","Just apply for a job at @Apple, hope they call me lol"
"126366123368267776","apple","POS","RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ..."
"126365858481188864","apple","POS","Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol"
"126360935509135362","apple","POS","RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
"126360398885687296","apple","POS","Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads URL @Apple"
"126358340220616704","apple","POS","Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
"126352268705538048","apple","OTHER","Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
"126350302113824769","apple","OTHER","Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry."
"126349695676203009","apple","OTHER","Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards"
